adjustments_to_unobligated_cpe,agency_identifier,allocation_transfer_agency,availability_type_code,beginning_period_of_availa,borrowing_authority_amount_cpe,budget_authority_appropria_cpe,budget_authority_available_cpe,budget_authority_unobligat_fyb,contract_authority_amount_cpe,deobligations_recoveries_r_cpe,ending_period_of_availabil,gross_outlay_amount_by_tas_cpe,main_account_code,obligations_incurred_total_cpe,other_budgetary_resources_cpe,spending_authority_from_of_cpe,status_of_budgetary_resour_cpe,sub_account_code,unobligated_balance_cpe,tas,tas_with_sub,fiscal_year,period
0,69,X,X,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,069-0000-0000-X-0117,069-0000-0000-X-0117-000,2017,9
0,69,, ,2012,0,0,969,969,0,0,2012,0,118,0,0,0,969,0,969,069-2012-2012- -0118,069-2012-2012- -0118-000,2017,9
0,69,, ,2013,0,0,592,592,0,0,2013,0,118,0,0,0,592,0,592,069-2013-2013- -0118,069-2013-2013- -0118-000,2017,9
0,69,, ,2014,0,0,1255,1255,0,0,2014,0,118,0,0,0,1255,0,1255,069-2014-2014- -0118,069-2014-2014- -0118-000,2017,9
0,69,, ,2015,0,0,1080,1080,0,0,2015,-26,118,0,0,0,1080,0,1080,069-2015-2015- -0118,069-2015-2015- -0118-000,2017,9
15,69,, ,2016,0,0,194,179,0,15,2016,-1271,118,8,0,0,194,0,186,069-2016-2016- -0118,069-2016-2016- -0118-000,2017,9
0,69,, ,2017,0,9751,9751,0,0,0,2017,-5332,118,5964,0,0,9751,0,3787,069-2017-2017- -0118,069-2017-2017- -0118-000,2017,9
552,69,X,X,0,0,0,5370,4818,0,76,0,-473,119,508,0,0,5370,0,4862,069-0000-0000-X-0119,069-0000-0000-X-0119-000,2017,9
0,69,, ,2011,0,0,173,173,0,0,2012,0,119,0,0,0,173,0,173,069-2011-2012- -0119,069-2011-2012- -0119-000,2017,9
0,69,, ,2012,0,0,81,81,0,0,2013,0,119,0,0,0,81,0,81,069-2012-2013- -0119,069-2012-2013- -0119-000,2017,9
0,69,, ,2013,0,0,169,169,0,0,2014,0,119,0,0,0,169,0,169,069-2013-2014- -0119,069-2013-2014- -0119-000,2017,9
26,69,, ,2014,0,0,121,95,0,26,2015,0,119,0,0,0,121,0,121,069-2014-2015- -0119,069-2014-2015- -0119-000,2017,9
16,69,, ,2015,0,0,77,61,0,16,2016,-492,119,0,0,0,77,0,77,069-2015-2016- -0119,069-2015-2016- -0119-000,2017,9
392,69,, ,2016,0,0,2284,1892,0,19,2017,-1067,119,1444,0,0,2284,0,841,069-2016-2017- -0119,069-2016-2017- -0119-000,2017,9
